Date,Emotion,Week,Happiness_ratio
2023-03-13,4,3岿 2林,1.9
2023-03-14,3,3岿 2林,1.9
2023-03-15,0,3岿 3林,4.99
2023-03-16,1,3岿 3林,4.99
2023-03-17,0,3岿 3林,4.99
2023-03-20,1,3岿 3林,4.99
2023-03-21,1,3岿 3林,4.99
2023-03-22,0,3岿 4林,2.99
2023-03-23,1,3岿 4林,2.99
2023-03-24,2,3岿 4林,2.99
2023-03-27,4,3岿 4林,2.99
2023-03-28,4,3岿 4林,2.99
2023-03-29,1,3岿 5林,2.76
2023-03-30,1,3岿 5林,2.76
2023-03-31,4,3岿 5林,2.76
2023-04-03,1,4岿 1林,4.99
2023-04-04,3,4岿 1林,4.99
2023-04-05,4,4岿 1林,4.99
2023-04-06,2,4岿 1林,4.99
2023-04-07,1,4岿 1林,4.99
2023-04-10,4,4岿 2林,1.9
2023-04-11,2,4岿 2林,1.9
2023-04-12,0,4岿 2林,1.9
2023-04-13,1,4岿 2林,1.9
2023-04-14,2,4岿 2林,1.9
2023-04-17,1,4岿 3林,4.99
2023-04-18,2,4岿 3林,4.99
2023-04-19,1,4岿 3林,4.99
2023-04-20,1,4岿 3林,4.99
2023-04-21,4,4岿 3林,4.99
2023-04-24,4,4岿 4林,2.99
2023-04-25,4,4岿 4林,2.99
2023-04-26,2,4岿 4林,2.99
2023-04-27,4,4岿 4林,2.99
2023-04-28,4,4岿 4林,2.99
2023-05-01,0,5岿 1林,4.99
2023-05-02,2,5岿 1林,4.99
2023-05-03,2,5岿 1林,4.99
2023-05-04,1,5岿 1林,4.99
2023-05-05,0,5岿 1林,4.99
2023-05-08,0,5岿 2林,1.9
2023-05-09,3,5岿 2林,1.9
2023-05-10,2,5岿 2林,1.9
2023-05-11,2,5岿 2林,1.9
2023-05-12,3,5岿 2林,1.9
2023-05-15,2,5岿 3林,4.99
2023-05-16,2,5岿 3林,4.99
2023-05-17,4,5岿 3林,4.99
2023-05-18,1,5岿 3林,4.99
2023-05-19,3,5岿 3林,4.99
2023-05-22,1,5岿 4林,2.99
2023-05-23,3,5岿 4林,2.99
2023-05-24,3,5岿 4林,2.99
2023-05-25,1,5岿 4林,2.99
2023-05-26,4,5岿 4林,2.99
2023-05-29,3,5岿 5林,2.76
2023-05-30,0,5岿 5林,2.76
2023-05-31,1,5岿 5林,2.76
2023-06-01,3,6岿 1林,4.99
2023-06-02,2,6岿 1林,4.99
2023-06-05,3,6岿 1林,4.99
2023-06-06,4,6岿 1林,4.99
2023-06-07,0,6岿 1林,4.99
2023-06-08,1,6岿 2林,1.9
2023-06-09,1,6岿 2林,1.9
2023-06-12,2,6岿 2林,1.9
2023-06-13,3,6岿 2林,1.9
