Date,Emotion,Week,Happiness_ratio
2023-03-13,1,3岿 2林,1.01
2023-03-14,2,3岿 2林,1.01
2023-03-15,2,3岿 3林,3.84
2023-03-16,4,3岿 3林,3.84
2023-03-17,3,3岿 3林,3.84
2023-03-20,4,3岿 3林,3.84
2023-03-21,1,3岿 3林,3.84
2023-03-22,2,3岿 4林,4.29
2023-03-23,3,3岿 4林,4.29
2023-03-24,2,3岿 4林,4.29
2023-03-27,0,3岿 4林,4.29
2023-03-28,1,3岿 4林,4.29
2023-03-29,1,3岿 5林,4.99
2023-03-30,4,3岿 5林,4.99
2023-03-31,0,3岿 5林,4.99
2023-04-03,4,4岿 1林,2.55
2023-04-04,4,4岿 1林,2.55
2023-04-05,4,4岿 1林,2.55
2023-04-06,3,4岿 1林,2.55
2023-04-07,4,4岿 1林,2.55
2023-04-10,4,4岿 2林,1.01
2023-04-11,2,4岿 2林,1.01
2023-04-12,1,4岿 2林,1.01
2023-04-13,1,4岿 2林,1.01
2023-04-14,1,4岿 2林,1.01
2023-04-17,1,4岿 3林,3.84
2023-04-18,2,4岿 3林,3.84
2023-04-19,3,4岿 3林,3.84
2023-04-20,2,4岿 3林,3.84
2023-04-21,1,4岿 3林,3.84
2023-04-24,3,4岿 4林,4.29
2023-04-25,3,4岿 4林,4.29
2023-04-26,2,4岿 4林,4.29
2023-04-27,1,4岿 4林,4.29
2023-04-28,2,4岿 4林,4.29
2023-05-01,1,5岿 1林,2.55
2023-05-02,4,5岿 1林,2.55
2023-05-03,3,5岿 1林,2.55
2023-05-04,2,5岿 1林,2.55
2023-05-05,3,5岿 1林,2.55
2023-05-08,3,5岿 2林,1.01
2023-05-09,3,5岿 2林,1.01
2023-05-10,4,5岿 2林,1.01
2023-05-11,2,5岿 2林,1.01
2023-05-12,1,5岿 2林,1.01
2023-05-15,2,5岿 3林,3.84
2023-05-16,0,5岿 3林,3.84
2023-05-17,4,5岿 3林,3.84
2023-05-18,3,5岿 3林,3.84
2023-05-19,0,5岿 3林,3.84
2023-05-22,4,5岿 4林,4.29
2023-05-23,3,5岿 4林,4.29
2023-05-24,0,5岿 4林,4.29
2023-05-25,1,5岿 4林,4.29
2023-05-26,1,5岿 4林,4.29
2023-05-29,1,5岿 5林,4.99
2023-05-30,3,5岿 5林,4.99
2023-05-31,2,5岿 5林,4.99
2023-06-01,0,6岿 1林,2.55
2023-06-02,4,6岿 1林,2.55
2023-06-05,3,6岿 1林,2.55
2023-06-06,4,6岿 1林,2.55
2023-06-07,1,6岿 1林,2.55
2023-06-08,0,6岿 2林,1.01
2023-06-09,0,6岿 2林,1.01
2023-06-12,2,6岿 2林,1.01
2023-06-13,0,6岿 2林,1.01
