Date,Emotion,Week,Happiness_ratio
2023-03-13,1,3岿 2林,1.7
2023-03-14,2,3岿 2林,1.7
2023-03-15,3,3岿 3林,3.37
2023-03-16,0,3岿 3林,3.37
2023-03-17,1,3岿 3林,3.37
2023-03-20,2,3岿 3林,3.37
2023-03-21,0,3岿 3林,3.37
2023-03-22,1,3岿 4林,3.61
2023-03-23,2,3岿 4林,3.61
2023-03-24,3,3岿 4林,3.61
2023-03-27,3,3岿 4林,3.61
2023-03-28,4,3岿 4林,3.61
2023-03-29,3,3岿 5林,2.9
2023-03-30,3,3岿 5林,2.9
2023-03-31,1,3岿 5林,2.9
2023-04-03,0,4岿 1林,2.63
2023-04-04,2,4岿 1林,2.63
2023-04-05,3,4岿 1林,2.63
2023-04-06,0,4岿 1林,2.63
2023-04-07,4,4岿 1林,2.63
2023-04-10,0,4岿 2林,1.7
2023-04-11,0,4岿 2林,1.7
2023-04-12,1,4岿 2林,1.7
2023-04-13,0,4岿 2林,1.7
2023-04-14,1,4岿 2林,1.7
2023-04-17,3,4岿 3林,3.37
2023-04-18,3,4岿 3林,3.37
2023-04-19,0,4岿 3林,3.37
2023-04-20,4,4岿 3林,3.37
2023-04-21,0,4岿 3林,3.37
2023-04-24,1,4岿 4林,3.61
2023-04-25,2,4岿 4林,3.61
2023-04-26,0,4岿 4林,3.61
2023-04-27,2,4岿 4林,3.61
2023-04-28,2,4岿 4林,3.61
2023-05-01,1,5岿 1林,2.63
2023-05-02,2,5岿 1林,2.63
2023-05-03,0,5岿 1林,2.63
2023-05-04,4,5岿 1林,2.63
2023-05-05,2,5岿 1林,2.63
2023-05-08,0,5岿 2林,1.7
2023-05-09,2,5岿 2林,1.7
2023-05-10,0,5岿 2林,1.7
2023-05-11,3,5岿 2林,1.7
2023-05-12,2,5岿 2林,1.7
2023-05-15,1,5岿 3林,3.37
2023-05-16,4,5岿 3林,3.37
2023-05-17,0,5岿 3林,3.37
2023-05-18,1,5岿 3林,3.37
2023-05-19,2,5岿 3林,3.37
2023-05-22,4,5岿 4林,3.61
2023-05-23,4,5岿 4林,3.61
2023-05-24,2,5岿 4林,3.61
2023-05-25,1,5岿 4林,3.61
2023-05-26,2,5岿 4林,3.61
2023-05-29,0,5岿 5林,2.9
2023-05-30,2,5岿 5林,2.9
2023-05-31,3,5岿 5林,2.9
2023-06-01,4,6岿 1林,2.63
2023-06-02,2,6岿 1林,2.63
2023-06-05,0,6岿 1林,2.63
2023-06-06,3,6岿 1林,2.63
2023-06-07,2,6岿 1林,2.63
2023-06-08,4,6岿 2林,1.7
2023-06-09,3,6岿 2林,1.7
2023-06-12,1,6岿 2林,1.7
2023-06-13,3,6岿 2林,1.7
