Date,Emotion,Week,Happiness_ratio
2023-03-13,1,3岿 2林,1.01
2023-03-14,1,3岿 2林,1.01
2023-03-15,3,3岿 3林,2.51
2023-03-16,3,3岿 3林,2.51
2023-03-17,3,3岿 3林,2.51
2023-03-20,2,3岿 3林,2.51
2023-03-21,0,3岿 3林,2.51
2023-03-22,3,3岿 4林,4.45
2023-03-23,0,3岿 4林,4.45
2023-03-24,3,3岿 4林,4.45
2023-03-27,1,3岿 4林,4.45
2023-03-28,4,3岿 4林,4.45
2023-03-29,4,3岿 5林,4.99
2023-03-30,1,3岿 5林,4.99
2023-03-31,3,3岿 5林,4.99
2023-04-03,0,4岿 1林,4.85
2023-04-04,0,4岿 1林,4.85
2023-04-05,3,4岿 1林,4.85
2023-04-06,2,4岿 1林,4.85
2023-04-07,4,4岿 1林,4.85
2023-04-10,1,4岿 2林,1.01
2023-04-11,4,4岿 2林,1.01
2023-04-12,3,4岿 2林,1.01
2023-04-13,0,4岿 2林,1.01
2023-04-14,1,4岿 2林,1.01
2023-04-17,1,4岿 3林,2.51
2023-04-18,2,4岿 3林,2.51
2023-04-19,0,4岿 3林,2.51
2023-04-20,4,4岿 3林,2.51
2023-04-21,1,4岿 3林,2.51
2023-04-24,4,4岿 4林,4.45
2023-04-25,0,4岿 4林,4.45
2023-04-26,1,4岿 4林,4.45
2023-04-27,0,4岿 4林,4.45
2023-04-28,2,4岿 4林,4.45
2023-05-01,2,5岿 1林,4.85
2023-05-02,0,5岿 1林,4.85
2023-05-03,2,5岿 1林,4.85
2023-05-04,1,5岿 1林,4.85
2023-05-05,3,5岿 1林,4.85
2023-05-08,3,5岿 2林,1.01
2023-05-09,1,5岿 2林,1.01
2023-05-10,1,5岿 2林,1.01
2023-05-11,0,5岿 2林,1.01
2023-05-12,4,5岿 2林,1.01
2023-05-15,2,5岿 3林,2.51
2023-05-16,1,5岿 3林,2.51
2023-05-17,1,5岿 3林,2.51
2023-05-18,1,5岿 3林,2.51
2023-05-19,0,5岿 3林,2.51
2023-05-22,1,5岿 4林,4.45
2023-05-23,0,5岿 4林,4.45
2023-05-24,1,5岿 4林,4.45
2023-05-25,4,5岿 4林,4.45
2023-05-26,3,5岿 4林,4.45
2023-05-29,4,5岿 5林,4.99
2023-05-30,3,5岿 5林,4.99
2023-05-31,0,5岿 5林,4.99
2023-06-01,3,6岿 1林,4.85
2023-06-02,3,6岿 1林,4.85
2023-06-05,3,6岿 1林,4.85
2023-06-06,1,6岿 1林,4.85
2023-06-07,2,6岿 1林,4.85
2023-06-08,3,6岿 2林,1.01
2023-06-09,4,6岿 2林,1.01
2023-06-12,0,6岿 2林,1.01
2023-06-13,3,6岿 2林,1.01
