Date,Emotion,Week,Happiness_ratio
2023-03-13,1,3岿 2林,3.67
2023-03-14,1,3岿 2林,3.67
2023-03-15,2,3岿 3林,3.71
2023-03-16,1,3岿 3林,3.71
2023-03-17,4,3岿 3林,3.71
2023-03-20,0,3岿 3林,3.71
2023-03-21,1,3岿 3林,3.71
2023-03-22,3,3岿 4林,2.6
2023-03-23,2,3岿 4林,2.6
2023-03-24,1,3岿 4林,2.6
2023-03-27,3,3岿 4林,2.6
2023-03-28,2,3岿 4林,2.6
2023-03-29,4,3岿 5林,2.83
2023-03-30,4,3岿 5林,2.83
2023-03-31,1,3岿 5林,2.83
2023-04-03,2,4岿 1林,4.48
2023-04-04,2,4岿 1林,4.48
2023-04-05,4,4岿 1林,4.48
2023-04-06,1,4岿 1林,4.48
2023-04-07,4,4岿 1林,4.48
2023-04-10,2,4岿 2林,3.67
2023-04-11,1,4岿 2林,3.67
2023-04-12,3,4岿 2林,3.67
2023-04-13,2,4岿 2林,3.67
2023-04-14,2,4岿 2林,3.67
2023-04-17,0,4岿 3林,3.71
2023-04-18,4,4岿 3林,3.71
2023-04-19,4,4岿 3林,3.71
2023-04-20,2,4岿 3林,3.71
2023-04-21,0,4岿 3林,3.71
2023-04-24,0,4岿 4林,2.6
2023-04-25,4,4岿 4林,2.6
2023-04-26,2,4岿 4林,2.6
2023-04-27,3,4岿 4林,2.6
2023-04-28,4,4岿 4林,2.6
2023-05-01,4,5岿 1林,4.48
2023-05-02,4,5岿 1林,4.48
2023-05-03,2,5岿 1林,4.48
2023-05-04,4,5岿 1林,4.48
2023-05-05,4,5岿 1林,4.48
2023-05-08,4,5岿 2林,3.67
2023-05-09,4,5岿 2林,3.67
2023-05-10,1,5岿 2林,3.67
2023-05-11,4,5岿 2林,3.67
2023-05-12,1,5岿 2林,3.67
2023-05-15,3,5岿 3林,3.71
2023-05-16,4,5岿 3林,3.71
2023-05-17,2,5岿 3林,3.71
2023-05-18,4,5岿 3林,3.71
2023-05-19,4,5岿 3林,3.71
2023-05-22,4,5岿 4林,2.6
2023-05-23,2,5岿 4林,2.6
2023-05-24,2,5岿 4林,2.6
2023-05-25,0,5岿 4林,2.6
2023-05-26,3,5岿 4林,2.6
2023-05-29,2,5岿 5林,2.83
2023-05-30,1,5岿 5林,2.83
2023-05-31,1,5岿 5林,2.83
2023-06-01,1,6岿 1林,4.48
2023-06-02,4,6岿 1林,4.48
2023-06-05,1,6岿 1林,4.48
2023-06-06,4,6岿 1林,4.48
2023-06-07,3,6岿 1林,4.48
2023-06-08,0,6岿 2林,3.67
2023-06-09,2,6岿 2林,3.67
2023-06-12,4,6岿 2林,3.67
2023-06-13,2,6岿 2林,3.67
