Date,Emotion,Week,Happiness_ratio
2023-03-13,3,3岿 2林,2.6
2023-03-14,4,3岿 2林,2.6
2023-03-15,1,3岿 3林,2.91
2023-03-16,3,3岿 3林,2.91
2023-03-17,3,3岿 3林,2.91
2023-03-20,2,3岿 3林,2.91
2023-03-21,1,3岿 3林,2.91
2023-03-22,3,3岿 4林,4.99
2023-03-23,2,3岿 4林,4.99
2023-03-24,1,3岿 4林,4.99
2023-03-27,2,3岿 4林,4.99
2023-03-28,2,3岿 4林,4.99
2023-03-29,1,3岿 5林,1.54
2023-03-30,4,3岿 5林,1.54
2023-03-31,2,3岿 5林,1.54
2023-04-03,2,4岿 1林,4.99
2023-04-04,4,4岿 1林,4.99
2023-04-05,0,4岿 1林,4.99
2023-04-06,2,4岿 1林,4.99
2023-04-07,1,4岿 1林,4.99
2023-04-10,4,4岿 2林,2.6
2023-04-11,4,4岿 2林,2.6
2023-04-12,0,4岿 2林,2.6
2023-04-13,1,4岿 2林,2.6
2023-04-14,0,4岿 2林,2.6
2023-04-17,0,4岿 3林,2.91
2023-04-18,4,4岿 3林,2.91
2023-04-19,1,4岿 3林,2.91
2023-04-20,3,4岿 3林,2.91
2023-04-21,2,4岿 3林,2.91
2023-04-24,4,4岿 4林,4.99
2023-04-25,1,4岿 4林,4.99
2023-04-26,2,4岿 4林,4.99
2023-04-27,3,4岿 4林,4.99
2023-04-28,3,4岿 4林,4.99
2023-05-01,2,5岿 1林,4.99
2023-05-02,2,5岿 1林,4.99
2023-05-03,3,5岿 1林,4.99
2023-05-04,3,5岿 1林,4.99
2023-05-05,1,5岿 1林,4.99
2023-05-08,2,5岿 2林,2.6
2023-05-09,2,5岿 2林,2.6
2023-05-10,2,5岿 2林,2.6
2023-05-11,3,5岿 2林,2.6
2023-05-12,0,5岿 2林,2.6
2023-05-15,2,5岿 3林,2.91
2023-05-16,0,5岿 3林,2.91
2023-05-17,0,5岿 3林,2.91
2023-05-18,3,5岿 3林,2.91
2023-05-19,2,5岿 3林,2.91
2023-05-22,1,5岿 4林,4.99
2023-05-23,1,5岿 4林,4.99
2023-05-24,3,5岿 4林,4.99
2023-05-25,3,5岿 4林,4.99
2023-05-26,4,5岿 4林,4.99
2023-05-29,2,5岿 5林,1.54
2023-05-30,1,5岿 5林,1.54
2023-05-31,0,5岿 5林,1.54
2023-06-01,1,6岿 1林,4.99
2023-06-02,3,6岿 1林,4.99
2023-06-05,0,6岿 1林,4.99
2023-06-06,1,6岿 1林,4.99
2023-06-07,0,6岿 1林,4.99
2023-06-08,4,6岿 2林,2.6
2023-06-09,1,6岿 2林,2.6
2023-06-12,0,6岿 2林,2.6
2023-06-13,2,6岿 2林,2.6
