Date,Emotion,Week,Happiness_ratio
2023-03-13,3,3岿 2林,2.6
2023-03-14,0,3岿 2林,2.6
2023-03-15,1,3岿 3林,4.26
2023-03-16,4,3岿 3林,4.26
2023-03-17,0,3岿 3林,4.26
2023-03-20,4,3岿 3林,4.26
2023-03-21,3,3岿 3林,4.26
2023-03-22,4,3岿 4林,2.84
2023-03-23,1,3岿 4林,2.84
2023-03-24,0,3岿 4林,2.84
2023-03-27,3,3岿 4林,2.84
2023-03-28,0,3岿 4林,2.84
2023-03-29,3,3岿 5林,4.44
2023-03-30,0,3岿 5林,4.44
2023-03-31,3,3岿 5林,4.44
2023-04-03,1,4岿 1林,4.99
2023-04-04,2,4岿 1林,4.99
2023-04-05,1,4岿 1林,4.99
2023-04-06,0,4岿 1林,4.99
2023-04-07,0,4岿 1林,4.99
2023-04-10,2,4岿 2林,2.6
2023-04-11,0,4岿 2林,2.6
2023-04-12,4,4岿 2林,2.6
2023-04-13,3,4岿 2林,2.6
2023-04-14,4,4岿 2林,2.6
2023-04-17,0,4岿 3林,4.26
2023-04-18,1,4岿 3林,4.26
2023-04-19,3,4岿 3林,4.26
2023-04-20,1,4岿 3林,4.26
2023-04-21,2,4岿 3林,4.26
2023-04-24,2,4岿 4林,2.84
2023-04-25,4,4岿 4林,2.84
2023-04-26,0,4岿 4林,2.84
2023-04-27,4,4岿 4林,2.84
2023-04-28,1,4岿 4林,2.84
2023-05-01,3,5岿 1林,4.99
2023-05-02,2,5岿 1林,4.99
2023-05-03,0,5岿 1林,4.99
2023-05-04,1,5岿 1林,4.99
2023-05-05,4,5岿 1林,4.99
2023-05-08,1,5岿 2林,2.6
2023-05-09,1,5岿 2林,2.6
2023-05-10,2,5岿 2林,2.6
2023-05-11,0,5岿 2林,2.6
2023-05-12,3,5岿 2林,2.6
2023-05-15,1,5岿 3林,4.26
2023-05-16,2,5岿 3林,4.26
2023-05-17,2,5岿 3林,4.26
2023-05-18,1,5岿 3林,4.26
2023-05-19,1,5岿 3林,4.26
2023-05-22,1,5岿 4林,2.84
2023-05-23,0,5岿 4林,2.84
2023-05-24,1,5岿 4林,2.84
2023-05-25,0,5岿 4林,2.84
2023-05-26,4,5岿 4林,2.84
2023-05-29,4,5岿 5林,4.44
2023-05-30,2,5岿 5林,4.44
2023-05-31,4,5岿 5林,4.44
2023-06-01,0,6岿 1林,4.99
2023-06-02,2,6岿 1林,4.99
2023-06-05,2,6岿 1林,4.99
2023-06-06,0,6岿 1林,4.99
2023-06-07,2,6岿 1林,4.99
2023-06-08,1,6岿 2林,2.6
2023-06-09,2,6岿 2林,2.6
2023-06-12,4,6岿 2林,2.6
2023-06-13,3,6岿 2林,2.6
